sample_dir,field,hash,crop_path
data\A1,start_min,41c78277cab99e20f54c1016dbcd4c28,outputs\debug\crop_start_min_000.png
data\A1,end_min,26fa258a431569b6d0e5caf973e833f2,outputs\debug\crop_end_min_001.png
data\A1,peak_width_sec,06d0cdafd954ff55f63245d8687679c8,outputs\debug\crop_peak_width_sec_002.png
data\A1,detection_threshold,f365f5892cfddd3f05d19116651d9338,outputs\debug\crop_detection_threshold_003.png
data\A1,minimum_area,25f040f945d997ca5130d39ef1bd127a,outputs\debug\crop_minimum_area_004.png
data\A1,minimum_height,c86097a7bd1be9952c82640b81728d3e,outputs\debug\crop_minimum_height_005.png
data\A10,start_min,9872f14deb23eb007e3f5fb54e3a8e08,outputs\debug\crop_start_min_006.png
data\A10,end_min,e8a7ab83eb0640d46821d5a8a0e0799b,outputs\debug\crop_end_min_007.png
data\A10,peak_width_sec,e227141a136529431e23791a08bed179,outputs\debug\crop_peak_width_sec_008.png
data\A10,detection_threshold,dfcd888a0c18c3f8660f69a88120dadf,outputs\debug\crop_detection_threshold_009.png
data\A10,minimum_area,bde6b6c5c301e01739e3ddce89d040bc,outputs\debug\crop_minimum_area_010.png
data\A10,minimum_height,596b2a4d1d52893aa4ea485829a3faa1,outputs\debug\crop_minimum_height_011.png
data\A11,start_min,b00d9548f1d292193300b8a499c7c4a5,outputs\debug\crop_start_min_012.png
data\A11,end_min,b55c446743ff96921ce917c3f071e12c,outputs\debug\crop_end_min_013.png
data\A11,peak_width_sec,f0a7dcf902082995a0051c2adf86735c,outputs\debug\crop_peak_width_sec_014.png
data\A11,detection_threshold,42c97ea6d70f7042e76d2447f6c5a841,outputs\debug\crop_detection_threshold_015.png
data\A11,minimum_area,f3a23a301f26a8240170c021f5e64e8d,outputs\debug\crop_minimum_area_016.png
data\A11,minimum_height,459d8a26e6abed03d4776bbe705b19f5,outputs\debug\crop_minimum_height_017.png
data\A12,start_min,1029978b4c4c5c139ad26a9056806f7e,outputs\debug\crop_start_min_018.png
data\A12,end_min,65d1ec76ff8db7887f43317ee2f88e13,outputs\debug\crop_end_min_019.png
data\A12,peak_width_sec,c26297f5f62c02250cbc5aa467d60920,outputs\debug\crop_peak_width_sec_020.png
data\A12,detection_threshold,853f28aed9052bcf93bd7fe0425cb3df,outputs\debug\crop_detection_threshold_021.png
data\A12,minimum_area,f3a23a301f26a8240170c021f5e64e8d,outputs\debug\crop_minimum_area_016.png
data\A12,minimum_height,93106dc208e7a0a52fc68fdca2c57d60,outputs\debug\crop_minimum_height_022.png
data\A13,start_min,a129eed06d8ed639bbc1a132e37171ec,outputs\debug\crop_start_min_023.png
data\A13,end_min,8033403e11af7657af0453af074e1664,outputs\debug\crop_end_min_024.png
data\A13,peak_width_sec,4bca6f81171359e2f4fef50c995bc726,outputs\debug\crop_peak_width_sec_025.png
data\A13,detection_threshold,75f3e9db7861688fcf8e6ed0df0c035e,outputs\debug\crop_detection_threshold_026.png
data\A13,minimum_area,49125abc766b36189a6539f1fb293337,outputs\debug\crop_minimum_area_027.png
data\A13,minimum_height,ad8c0eaa2a6644361f9425beab0d27fc,outputs\debug\crop_minimum_height_028.png
data\A15,start_min,173dbd5f14d8c69adcc4a0dafe34043e,outputs\debug\crop_start_min_029.png
data\A15,end_min,6741a12b8803789c344d20cd4b465f89,outputs\debug\crop_end_min_030.png
data\A15,peak_width_sec,ef4e775c6fc1b49b74302aad8231ea78,outputs\debug\crop_peak_width_sec_031.png
data\A15,detection_threshold,afd294dabacebc7b95324fd1d555ebd2,outputs\debug\crop_detection_threshold_032.png
data\A15,minimum_area,b2107d4f4814421001ecb800f3af2322,outputs\debug\crop_minimum_area_033.png
data\A15,minimum_height,7c4160f6de8f1168c12f54bfb02221e7,outputs\debug\crop_minimum_height_034.png
data\A16,start_min,7ccae6e8ebdbc8689c65c17f32949516,outputs\debug\crop_start_min_035.png
data\A16,end_min,ad96cadcb6d32ca99ef915834a30a8f8,outputs\debug\crop_end_min_036.png
data\A16,peak_width_sec,b9bb456197737172a5df1cd3651dcc81,outputs\debug\crop_peak_width_sec_037.png
data\A16,detection_threshold,afd34770ef50b6726c9f89f5a4d4eb76,outputs\debug\crop_detection_threshold_038.png
data\A16,minimum_area,0d42bb707b2849a0820de2adebb2eb9d,outputs\debug\crop_minimum_area_039.png
data\A16,minimum_height,3314cb0146f103d512b433031ac2c9cc,outputs\debug\crop_minimum_height_040.png
data\A17,start_min,3c9c170cc6fab3c9ea3a8c0f99267b2f,outputs\debug\crop_start_min_041.png
data\A17,end_min,c9d139a3c1f841e1696190824b40c0a3,outputs\debug\crop_end_min_042.png
data\A17,peak_width_sec,9af72e9ebe845fbbb89c932fc97b181a,outputs\debug\crop_peak_width_sec_043.png
data\A17,detection_threshold,9e865f370abc5256a8b6b36d64b7ac47,outputs\debug\crop_detection_threshold_044.png
data\A17,minimum_area,96ac670a4516b9be89c8c581a300fd0c,outputs\debug\crop_minimum_area_045.png
data\A17,minimum_height,2c6d5902a610c59e40901c373f3c0ab7,outputs\debug\crop_minimum_height_046.png
data\A18,start_min,7015c00b8f8c8f460a2b37062e847c8e,outputs\debug\crop_start_min_047.png
data\A18,end_min,5b2378e259153850d060ce216d2a3485,outputs\debug\crop_end_min_048.png
data\A18,peak_width_sec,875d13632358347292d27181f7512e4a,outputs\debug\crop_peak_width_sec_049.png
data\A18,detection_threshold,a07692a75efb5ee15e7d81013ff8b20b,outputs\debug\crop_detection_threshold_050.png
data\A18,minimum_area,ca0a3284a578077066babcdc56085830,outputs\debug\crop_minimum_area_051.png
data\A18,minimum_height,b07c1408bad7132cec0121f5c6e804e8,outputs\debug\crop_minimum_height_052.png
data\A19,start_min,050c58a2e3ea1f99f768507eef55344c,outputs\debug\crop_start_min_053.png
data\A19,end_min,8adbd4dd48816be2080992ecb1604a54,outputs\debug\crop_end_min_054.png
data\A19,peak_width_sec,a8ecaf391a593483365503f8e0c6155a,outputs\debug\crop_peak_width_sec_055.png
data\A19,detection_threshold,4588f684a3074cee2feb6f68eecc1bc5,outputs\debug\crop_detection_threshold_056.png
data\A19,minimum_area,f3a23a301f26a8240170c021f5e64e8d,outputs\debug\crop_minimum_area_016.png
data\A19,minimum_height,f1ae397c2442ced09eee990806b26f69,outputs\debug\crop_minimum_height_057.png
data\A2,start_min,a6162ea65b0baa2c7ef5d5e86c4472d3,outputs\debug\crop_start_min_058.png
data\A2,end_min,1fee2d9b10500024c19b020727b50184,outputs\debug\crop_end_min_059.png
data\A2,peak_width_sec,598a73b3956372adb8cc68b663c8f998,outputs\debug\crop_peak_width_sec_060.png
data\A2,detection_threshold,e4917b8b3f97050e0713863cdfd0517b,outputs\debug\crop_detection_threshold_061.png
data\A2,minimum_area,81425c3976b03c889582d7f558c99c68,outputs\debug\crop_minimum_area_062.png
data\A2,minimum_height,65f3f567648406e21869bd6aec0045d9,outputs\debug\crop_minimum_height_063.png
data\A20,start_min,ec6a271d85645605a4277a9d30e352b2,outputs\debug\crop_start_min_064.png
data\A20,end_min,2e20f6b7d93527d7222b495bd45a2d93,outputs\debug\crop_end_min_065.png
data\A20,peak_width_sec,eb3d7ff964341c113e552d2ad06402db,outputs\debug\crop_peak_width_sec_066.png
data\A20,detection_threshold,70dee5a14796cffabdc4664f564c6f70,outputs\debug\crop_detection_threshold_067.png
data\A20,minimum_area,96333a728bcb6a72856ce3f68eab5aa9,outputs\debug\crop_minimum_area_068.png
data\A20,minimum_height,8c667eda0f4ae3c34e1a76302b4903ad,outputs\debug\crop_minimum_height_069.png
data\A21,start_min,c05932e0a7f1f059f698ade12a47b96c,outputs\debug\crop_start_min_070.png
data\A21,end_min,40a7b3b8110cf1901b702880f28e9ec8,outputs\debug\crop_end_min_071.png
data\A21,peak_width_sec,403bd5b4abbd75caeba7b9c4de11de11,outputs\debug\crop_peak_width_sec_072.png
data\A21,detection_threshold,58399c80848afe221bfc73f2d7ccd782,outputs\debug\crop_detection_threshold_073.png
data\A21,minimum_area,f3a23a301f26a8240170c021f5e64e8d,outputs\debug\crop_minimum_area_016.png
data\A21,minimum_height,c19c1dc9d49ae7724b4df00eff63e6e2,outputs\debug\crop_minimum_height_074.png
data\A3,start_min,41c78277cab99e20f54c1016dbcd4c28,outputs\debug\crop_start_min_000.png
data\A3,end_min,26fa258a431569b6d0e5caf973e833f2,outputs\debug\crop_end_min_001.png
data\A3,peak_width_sec,06d0cdafd954ff55f63245d8687679c8,outputs\debug\crop_peak_width_sec_002.png
data\A3,detection_threshold,f365f5892cfddd3f05d19116651d9338,outputs\debug\crop_detection_threshold_003.png
data\A3,minimum_area,25f040f945d997ca5130d39ef1bd127a,outputs\debug\crop_minimum_area_004.png
data\A3,minimum_height,c86097a7bd1be9952c82640b81728d3e,outputs\debug\crop_minimum_height_005.png
data\A4,start_min,ef869a2bc75894762d57913a0fb32595,outputs\debug\crop_start_min_075.png
data\A4,end_min,ba25eb5418555b928810f685e853b85e,outputs\debug\crop_end_min_076.png
data\A4,peak_width_sec,023a633b4cc156a7a6785cf4c1e81ae1,outputs\debug\crop_peak_width_sec_077.png
data\A4,detection_threshold,9210a146bf0dae8428756a605ec32ea0,outputs\debug\crop_detection_threshold_078.png
data\A4,minimum_area,15571e28f73e8bf91bb08887fca268c7,outputs\debug\crop_minimum_area_079.png
data\A4,minimum_height,68450482e6c864c05d0bf44999172e04,outputs\debug\crop_minimum_height_080.png
data\A5,start_min,6b6db95205793a8d83632b4477d624c5,outputs\debug\crop_start_min_081.png
data\A5,end_min,258d7cfb1bb31a986d4b48d9e9fefefd,outputs\debug\crop_end_min_082.png
data\A5,peak_width_sec,bb14a5fbd5c375b0aadaee433ce0374e,outputs\debug\crop_peak_width_sec_083.png
data\A5,detection_threshold,afd294dabacebc7b95324fd1d555ebd2,outputs\debug\crop_detection_threshold_032.png
data\A5,minimum_area,b2107d4f4814421001ecb800f3af2322,outputs\debug\crop_minimum_area_033.png
data\A5,minimum_height,48d4ac1b43ba13ea3a56101b7ee1a3b4,outputs\debug\crop_minimum_height_084.png
data\A6,start_min,dc0581f349698c29e93fce79145cd66f,outputs\debug\crop_start_min_085.png
data\A6,end_min,6fcf703bd3a314ffda5a401e4b8ef68e,outputs\debug\crop_end_min_086.png
data\A6,peak_width_sec,1c5e041b73995222a901e2650d0d8400,outputs\debug\crop_peak_width_sec_087.png
data\A6,detection_threshold,b3af8ce3662cc525146ed72a0f3c6a43,outputs\debug\crop_detection_threshold_088.png
data\A6,minimum_area,be595c3c9f7d2b6b8cb5a58a57b5c338,outputs\debug\crop_minimum_area_089.png
data\A6,minimum_height,2493cf12937d3ff1532c64e06b980793,outputs\debug\crop_minimum_height_090.png
data\A7,start_min,a9cc48c0594c45eb8ef4da6ceb53e221,outputs\debug\crop_start_min_091.png
data\A7,end_min,93e42041f1212df2c60f96bd9b17a4e9,outputs\debug\crop_end_min_092.png
data\A7,peak_width_sec,4fcc2ee864b638a75f9d7f4b3980bf58,outputs\debug\crop_peak_width_sec_093.png
data\A7,detection_threshold,edcacd6b8396210f907be3d5b2ebf0a2,outputs\debug\crop_detection_threshold_094.png
data\A7,minimum_area,f3a23a301f26a8240170c021f5e64e8d,outputs\debug\crop_minimum_area_016.png
data\A7,minimum_height,f3a23a301f26a8240170c021f5e64e8d,outputs\debug\crop_minimum_height_095.png
data\A8,start_min,3a7b452132035f0e00cd29d61ea37a8b,outputs\debug\crop_start_min_096.png
data\A8,end_min,2ace62ae58f6ac60436ac4ebe8fb307b,outputs\debug\crop_end_min_097.png
data\A8,peak_width_sec,1331518ca850379cd575bb2cb281ab6d,outputs\debug\crop_peak_width_sec_098.png
data\A8,detection_threshold,2254a35e0b9b05641689233b942b6a07,outputs\debug\crop_detection_threshold_099.png
data\A8,minimum_area,f3a23a301f26a8240170c021f5e64e8d,outputs\debug\crop_minimum_area_016.png
data\A8,minimum_height,13d30024d5f31e4b38e9b77b3c07014b,outputs\debug\crop_minimum_height_100.png
data\A9,start_min,796b395ffea04ba271edae72a64615ce,outputs\debug\crop_start_min_101.png
data\A9,end_min,c43989a1408b7d856a60e5df23ba5a0d,outputs\debug\crop_end_min_102.png
data\A9,peak_width_sec,c9350b0f1882b0380b318db9ac57eb70,outputs\debug\crop_peak_width_sec_103.png
data\A9,detection_threshold,87b32dff94b2a7c053e01787c55398a9,outputs\debug\crop_detection_threshold_104.png
data\A9,minimum_area,f3a23a301f26a8240170c021f5e64e8d,outputs\debug\crop_minimum_area_016.png
data\A9,minimum_height,5f68a50a7e1a78d5c7043f5a2e97761f,outputs\debug\crop_minimum_height_105.png
data\B1,start_min,9cec42d356f37f8c29130f416416b9dd,outputs\debug\crop_start_min_106.png
data\B1,end_min,fab0630e304ca7efe1c164d6cd294129,outputs\debug\crop_end_min_107.png
data\B1,peak_width_sec,4d7d2e57d0bec9413af7c0c16f318c7a,outputs\debug\crop_peak_width_sec_108.png
data\B1,detection_threshold,6100d1b6611e583604f247ae23ad46f2,outputs\debug\crop_detection_threshold_109.png
data\B1,minimum_area,75908c6de8158b65ae1b7f202797c497,outputs\debug\crop_minimum_area_110.png
data\B1,minimum_height,44a1e853e37e379b4f32a175e4ede585,outputs\debug\crop_minimum_height_111.png
data\B10,start_min,6d036445e322f562c26f14758f284df9,outputs\debug\crop_start_min_112.png
data\B10,end_min,c2c77850f8ea6f3ff5c24be2a893bd7f,outputs\debug\crop_end_min_113.png
data\B10,peak_width_sec,f6d12d312b84b0095061a141341f4311,outputs\debug\crop_peak_width_sec_114.png
data\B10,detection_threshold,b84c14f52813f5fef242a42feb0f55d7,outputs\debug\crop_detection_threshold_115.png
data\B10,minimum_area,a355484b67c8e3deab1c750ef027130c,outputs\debug\crop_minimum_area_116.png
data\B10,minimum_height,333db3b3a91f83da4a418f58eda1f277,outputs\debug\crop_minimum_height_117.png
data\B11,start_min,c90d2ba4fb3902cdf3ca8052e14d8793,outputs\debug\crop_start_min_118.png
data\B11,end_min,47d9adf6ea39be0cea12eeb66a736bbd,outputs\debug\crop_end_min_119.png
data\B11,peak_width_sec,4901b6291789c6be972c23e8a4e2a4e2,outputs\debug\crop_peak_width_sec_120.png
data\B11,detection_threshold,e68ffb47b3002ee1b825ae195a9cb33f,outputs\debug\crop_detection_threshold_121.png
data\B11,minimum_area,f3a23a301f26a8240170c021f5e64e8d,outputs\debug\crop_minimum_area_016.png
data\B11,minimum_height,dbd320b245771cdbf6d6b26637e214c1,outputs\debug\crop_minimum_height_122.png
data\B12,start_min,ee7d76c770aad896487f60aa9873bfc3,outputs\debug\crop_start_min_123.png
data\B12,end_min,7e1daf02a10b89b5817848b4bd470c81,outputs\debug\crop_end_min_124.png
data\B12,peak_width_sec,5dfe1bdfb9d887b88b7b83707a5c208f,outputs\debug\crop_peak_width_sec_125.png
data\B12,detection_threshold,88be21b7604695d96bfa9cc98455fed1,outputs\debug\crop_detection_threshold_126.png
data\B12,minimum_area,f3a23a301f26a8240170c021f5e64e8d,outputs\debug\crop_minimum_area_016.png
data\B12,minimum_height,af93d2ad66c08c845133aed513ab0b4f,outputs\debug\crop_minimum_height_127.png
data\B13,start_min,c2086c44a5de3b1fea313ed6485ad553,outputs\debug\crop_start_min_128.png
data\B13,end_min,ffde383cdbca3440294c972bcffcf21c,outputs\debug\crop_end_min_129.png
data\B13,peak_width_sec,e2854523b00fcdcbab7804e7dbe9bb1b,outputs\debug\crop_peak_width_sec_130.png
data\B13,detection_threshold,f0558c38ef54612eb69084fd79e182b1,outputs\debug\crop_detection_threshold_131.png
data\B13,minimum_area,73a8c0e4d2aa57c0605b40921f577fbf,outputs\debug\crop_minimum_area_132.png
data\B13,minimum_height,8120df122c996eb4ac68598304a0d61c,outputs\debug\crop_minimum_height_133.png
data\B14,start_min,b09812eba5ab0eda9bfae50be5c1a530,outputs\debug\crop_start_min_134.png
data\B14,end_min,33ad9cb38bd29cace2bb7c9658507514,outputs\debug\crop_end_min_135.png
data\B14,peak_width_sec,e9c0da9cf803d8ecaf10fe293f02bd37,outputs\debug\crop_peak_width_sec_136.png
data\B14,detection_threshold,ea5515baa8e1895990ceb7b8ca3a767c,outputs\debug\crop_detection_threshold_137.png
data\B14,minimum_area,2cdbbe624a459eb48a2d741f21fc8bea,outputs\debug\crop_minimum_area_138.png
data\B14,minimum_height,117e4bdae87a26aaced3b7d97327962a,outputs\debug\crop_minimum_height_139.png
data\B15,start_min,b9e65023a1017834c2e8d6e8622321aa,outputs\debug\crop_start_min_140.png
data\B15,end_min,0aedff3d6515e58370b8d25bfc74d2c7,outputs\debug\crop_end_min_141.png
data\B15,peak_width_sec,11e3cbf24fb84529c8cfbf13ad670914,outputs\debug\crop_peak_width_sec_142.png
data\B15,detection_threshold,8310ec6a9b6ef81bcd9917d7868a67b7,outputs\debug\crop_detection_threshold_143.png
data\B15,minimum_area,dd06f742556343de1a4ec8a50d0afb22,outputs\debug\crop_minimum_area_144.png
data\B15,minimum_height,5c98dc3abb2d7c7bf7effd9e846e14bd,outputs\debug\crop_minimum_height_145.png
data\B2,start_min,7b22a070c3a4becc81466db82049b3d4,outputs\debug\crop_start_min_146.png
data\B2,end_min,4a103298c87b2b49ea78f3f92f75c85a,outputs\debug\crop_end_min_147.png
data\B2,peak_width_sec,b628b11fc4c6cdbf34bbe35d7e8a4079,outputs\debug\crop_peak_width_sec_148.png
data\B2,detection_threshold,45ca6c0ef84dd41fa0086ca3d43afb03,outputs\debug\crop_detection_threshold_149.png
data\B2,minimum_area,5cfd41246072370deb3e4e09b2b801e5,outputs\debug\crop_minimum_area_150.png
data\B2,minimum_height,e4d5ab191a84c2b3051c9fd0add2e994,outputs\debug\crop_minimum_height_151.png
data\B3,start_min,b305875c290b7a1e2b866106661c934d,outputs\debug\crop_start_min_152.png
data\B3,end_min,ad12a278b60487455acf3f5c9b9bbb9e,outputs\debug\crop_end_min_153.png
data\B3,peak_width_sec,5fa1a13f61dee1b0093958fc6b45fd40,outputs\debug\crop_peak_width_sec_154.png
data\B3,detection_threshold,032fdfee91ec8c4f6c2aacc2c4610d44,outputs\debug\crop_detection_threshold_155.png
data\B3,minimum_area,6c744b2dce856d499022d7b96e3566b0,outputs\debug\crop_minimum_area_156.png
data\B3,minimum_height,521a5680f8d8e41e64058228ba9a4e0e,outputs\debug\crop_minimum_height_157.png
data\B4,start_min,a7c7b97b61c57b4b77bd7d137f883ec2,outputs\debug\crop_start_min_158.png
data\B4,end_min,f211d67ac4cbe6d3a82fa8328c187b1e,outputs\debug\crop_end_min_159.png
data\B4,peak_width_sec,5f6a08fa0ffd46506905e8216295f739,outputs\debug\crop_peak_width_sec_160.png
data\B4,detection_threshold,740084a8ae9e59ca2f8dcab493f295ef,outputs\debug\crop_detection_threshold_161.png
data\B4,minimum_area,998f2899878c8cad5129d3b03e803b5b,outputs\debug\crop_minimum_area_162.png
data\B4,minimum_height,a713e9c408f7f7c2e3ddc2dff13e2d40,outputs\debug\crop_minimum_height_163.png
data\B5,start_min,a1ffe3adbbb2a276d71fa44cd92708fc,outputs\debug\crop_start_min_164.png
data\B5,end_min,6ba5847d931a6b2a5eb0050575cbf7d2,outputs\debug\crop_end_min_165.png
data\B5,peak_width_sec,79f313892390bf9e046370d2b5d3a51a,outputs\debug\crop_peak_width_sec_166.png
data\B5,detection_threshold,49798591dbb5bfce3f244d49d8f9d93c,outputs\debug\crop_detection_threshold_167.png
data\B5,minimum_area,928917635d1f26b1be3b836b7356cbd1,outputs\debug\crop_minimum_area_168.png
data\B5,minimum_height,e3cc5d95845b5dea8bbf742e1a0e92ce,outputs\debug\crop_minimum_height_169.png
data\B6,start_min,ab084de60fe6d32f6a1e171ff46a5e60,outputs\debug\crop_start_min_170.png
data\B6,end_min,43164dce2b26ab5796337fdf0632ff93,outputs\debug\crop_end_min_171.png
data\B6,peak_width_sec,7c9f31cb388d9f94ac6c3d3a1cbcb4bb,outputs\debug\crop_peak_width_sec_172.png
data\B6,detection_threshold,c7d7fa0eddc19fabaabdf779af2c8b99,outputs\debug\crop_detection_threshold_173.png
data\B6,minimum_area,d296a237b21e89ffb952b66e8a4a2aeb,outputs\debug\crop_minimum_area_174.png
data\B6,minimum_height,15f5457f68d4096265cc6d0c5832bad0,outputs\debug\crop_minimum_height_175.png
data\B7,start_min,7bc6c3cae5e54dcde1c368065000973b,outputs\debug\crop_start_min_176.png
data\B7,end_min,7ed3ac8237c3d3f7594dd8643ae0c5e5,outputs\debug\crop_end_min_177.png
data\B7,peak_width_sec,0a11ee2296eaf9a6e4ae6c9585ebf59b,outputs\debug\crop_peak_width_sec_178.png
data\B7,detection_threshold,3e0c17afdc6ba03b177e9a7f3d943bd4,outputs\debug\crop_detection_threshold_179.png
data\B7,minimum_area,0de0cdf453677f68000c8c66f07388ff,outputs\debug\crop_minimum_area_180.png
data\B7,minimum_height,c3f0ecf86818cf6dfb2515af6629a519,outputs\debug\crop_minimum_height_181.png
data\B8,start_min,7bcb0f2290592332d1bceedd4193c22f,outputs\debug\crop_start_min_182.png
data\B8,end_min,f52893be4a9fecdc75f849ed048bae2a,outputs\debug\crop_end_min_183.png
data\B8,peak_width_sec,dbd9552232eb5f0d741090191b257c01,outputs\debug\crop_peak_width_sec_184.png
data\B8,detection_threshold,8ab24114311ee2a8098227319af80859,outputs\debug\crop_detection_threshold_185.png
data\B8,minimum_area,eff2e5d38b0e337c927c1728be07e826,outputs\debug\crop_minimum_area_186.png
data\B8,minimum_height,6930b7e8f55c9390418f2bda246a7dad,outputs\debug\crop_minimum_height_187.png
data\B9,start_min,4fc8e7922f15918af51c0ca9a4e81b2f,outputs\debug\crop_start_min_188.png
data\B9,end_min,6267d1a4a5efc0b710c96237ae875383,outputs\debug\crop_end_min_189.png
data\B9,peak_width_sec,b0d2ebf6081a6eae264a19c80e33a09f,outputs\debug\crop_peak_width_sec_190.png
data\B9,detection_threshold,a049a700a2ae7248f0f4ac97c28b9b19,outputs\debug\crop_detection_threshold_191.png
data\B9,minimum_area,c77b807ee864edbb9abf498755c98033,outputs\debug\crop_minimum_area_192.png
data\B9,minimum_height,0c13480e4dd6fc4fd0f322f1bce7f553,outputs\debug\crop_minimum_height_193.png
data\BC1,start_min,ece61de7a2dc06af42c3dfc3ad0db876,outputs\debug\crop_start_min_194.png
data\BC1,end_min,b5afccc0917cdd93891c381667a9df63,outputs\debug\crop_end_min_195.png
data\BC1,peak_width_sec,186084a73c243f998cd5571e906e79ee,outputs\debug\crop_peak_width_sec_196.png
data\BC1,detection_threshold,43bed9c1bfcc19fb47b716e1c2fdead1,outputs\debug\crop_detection_threshold_197.png
data\BC1,minimum_area,c4d65e79ebbb23c7726dc9bab0bc6eae,outputs\debug\crop_minimum_area_198.png
data\BC1,minimum_height,6971c8d7e68081c3dbc962ae0b347668,outputs\debug\crop_minimum_height_199.png
data\BC10,start_min,853e1dbe8d84c94dc32e3502a0fabe62,outputs\debug\crop_start_min_200.png
data\BC10,end_min,3b8ce3da3403184985920179517c0475,outputs\debug\crop_end_min_201.png
data\BC10,peak_width_sec,f246aaa9e3eea52cbb45ac78d09b5618,outputs\debug\crop_peak_width_sec_202.png
data\BC10,detection_threshold,943caed96c1cd47091d3d3cf25d1bcc7,outputs\debug\crop_detection_threshold_203.png
data\BC10,minimum_area,bde6b6c5c301e01739e3ddce89d040bc,outputs\debug\crop_minimum_area_010.png
data\BC10,minimum_height,9a6af4928c21d6ca33a6a0401958f1ea,outputs\debug\crop_minimum_height_204.png
data\BC11,start_min,8f111c83623341689ca22ff01917f21f,outputs\debug\crop_start_min_205.png
data\BC11,end_min,8165e9aa639324057d50b290c4f62bc5,outputs\debug\crop_end_min_206.png
data\BC11,peak_width_sec,73b6c01b0f2536b0f2ee7922398912a6,outputs\debug\crop_peak_width_sec_207.png
