sample_dir,group_root,sample_name,arw_path,arw_size,arw_md5,cdf_path,cdf_size,rpt_path,rpt_size,png_count,parameter_pngs,plot_pngs,unknown_pngs,status,duplicate_group_size,duplicate_dirs
data\A1,data,A1,data\A1\Method3252.arw,67084,c7f4b8d0ca12473fbc74f9ab62c2965f,data\A1\Method3252.cdf,25512,data\A1\Method_m32_result_3289.rpt,65410,2,data\A1\04f59218-5b59-4434-9444-f646a63c8e41.png,data\A1\06da9426-ca9d-4235-b2ad-e831a54a913e.png,,ok,3,data\A1;data\A3;extra\42
data\A10,data,A10,data\A10\data7482.arw,201028,d0787d3c2d9a7a2057527678183a4bfe,data\A10\data7482.cdf,73660,data\A10\data_m32_result_7685.rpt,179200,2,data\A10\105c52a9-75dc-4943-89cc-492f52487f76.png,,data\A10\c8fdfb66-b60d-4beb-b362-f1d37b935090.png,ok,1,
data\A11,data,A11,data\A11\data7622.arw,196504,05428fc7c249d2ad039d2a54696b6ed9,data\A11\data7622.cdf,73228,data\A11\data_m32_result_7689.rpt,181212,2,data\A11\89fb5ae9-a06e-4eb8-a472-61cc65067921.png,,data\A11\6cd66dfa-3673-473b-9de3-8ef98febe15e.png,ok,1,
data\A12,data,A12,data\A12\data7602.arw,195353,39964f50efe61d14f679dd42c14c4bee,data\A12\data7602.cdf,73568,data\A12\data_m32_result_7688.rpt,170673,2,data\A12\7b1036ff-f04b-4e9b-9325-21c26c01d9a9.png,,data\A12\646c0e3f-5a8f-4495-83d3-234de5968902.png,ok,1,
data\A13,data,A13,data\A13\data6460.arw,195572,cd44b15b85bad10eddd6258bcff0eef4,data\A13\data6460.cdf,73656,data\A13\data_m32_result_6526.rpt,191781,2,data\A13\1485b2e3-c11c-413c-818b-c12990e1986e.png,,data\A13\e76c1b90-3eee-427d-a1a9-8d5b5af41650.png,ok,1,
data\A14,data,A14,data\A14\data6468.arw,192892,0135ac349a165fd0b92af7127314d1a0,data\A14\data6468.cdf,73228,data\A14\data_m32_result_6528.rpt,189208,0,,,,missing_png|no_parameter_png_detected,1,
data\A15,data,A15,data\A15\data6464.arw,196207,e76a7500eecfab8898241f17e4183c5a,data\A15\data6464.cdf,73708,data\A15\data_m32_result_6527.rpt,191484,2,data\A15\ec496b7b-3838-4d59-97de-1dbd8296f808.png,,data\A15\f77b6f18-542a-414c-abe8-449297c45a9b.png,ok,1,
data\A16,data,A16,data\A16\data5511.arw,198916,d8e2680022379b1fe5a8f9dbff7f1937,data\A16\data5511.cdf,73760,data\A16\data_m32_result_5651.rpt,185367,2,data\A16\55f00973-f5fc-4c69-bfea-230a2595facf.png,,data\A16\f2c21858-dc07-4b3f-8fd1-871c77554093.png,ok,1,
data\A17,data,A17,data\A17\data5515.arw,198657,07d3992e13f5ef7d747e0e6d614763dc,data\A17\data5515.cdf,73760,data\A17\data_m32_result_5652.rpt,184990,2,data\A17\54f3f70d-1a2a-4376-95a2-838b5c1b2c90.png,,data\A17\f4b85cc4-81e7-4b57-a66d-653f979334dc.png,ok,1,
data\A18,data,A18,data\A18\data5519.arw,197076,a7105e490fae7ef020cbea7343b55092,data\A18\data5519.cdf,73712,data\A18\data_m32_result_5653.rpt,182116,2,data\A18\20955b56-b84c-4781-a805-de308717cea8.png,,data\A18\fdd09dba-97bf-4d06-b800-c1e8c3dcaf31.png,ok,1,
data\A19,data,A19,data\A19\data2402.arw,198236,ae4054190b545528ff66e24953c16f52,data\A19\data2402.cdf,73712,data\A19\data_m32_result_2527.rpt,187911,2,data\A19\8474c41e-ded8-4d23-96ba-8d2380af34b3.png,,data\A19\4d89843f-562f-46a9-bd0f-6da5093f0b3b.png,ok,1,
data\A2,data,A2,data\A2\Method3222.arw,65538,f5516fe163485d0e2572d97e53df5ed9,data\A2\Method3222.cdf,25512,data\A2\Method_m32_result_3286.rpt,66378,2,data\A2\f825f862-7976-4fd2-959a-b6fcf9619311.png,data\A2\9422e327-52a2-4b03-a2a2-81d67eb4a41e.png,,ok,2,data\A2;extra\39
data\A20,data,A20,data\A20\data2440.arw,199115,0e077787bf9beaa7ae4d21237b369f22,data\A20\data2440.cdf,73664,data\A20\data_m32_result_2528.rpt,189773,2,data\A20\02bf27e3-9035-4a42-b536-43b7225995fc.png,,data\A20\77d32cb7-82aa-458a-9f83-f90989f9b47a.png,ok,1,
data\A21,data,A21,data\A21\data2462.arw,197858,cedaa284675b80e74e8d7535563a410b,data\A21\data2462.cdf,73712,data\A21\data_m32_result_2529.rpt,189689,2,data\A21\db79b6d5-813e-42ef-9798-4c725b838f3f.png,,data\A21\3b15ea15-02e4-4ccf-9dcb-320569673131.png,ok,1,
data\A3,data,A3,data\A3\Method3252.arw,67084,c7f4b8d0ca12473fbc74f9ab62c2965f,data\A3\Method3252.cdf,25512,data\A3\Method_m32_result_3289.rpt,65410,2,data\A3\04f59218-5b59-4434-9444-f646a63c8e41.png,data\A3\06da9426-ca9d-4235-b2ad-e831a54a913e.png,,ok,3,data\A1;data\A3;extra\42
data\A4,data,A4,data\A4\Method2160.arw,67379,d9cccb2c090bcba4e218364a847260f8,data\A4\Method2160.cdf,25232,data\A4\Method_m32_result_2236.rpt,66491,2,data\A4\432f87be-e397-4328-9cb9-49a17b2bfa64.png,data\A4\599f9f0b-5d9b-4e4b-b7bf-6c89ff26e92d.png,,ok,2,data\A4;extra\66
data\A5,data,A5,data\A5\Method3242.arw,0,d41d8cd98f00b204e9800998ecf8427e,data\A5\Method3242.cdf,25228,data\A5\Method_m32_result_3287.rpt,63541,2,data\A5\942b2fde-d2c1-4b2d-a6aa-3d4f58f150c2.png,data\A5\15fdd3b8-82f1-4972-ab3c-1d0c1857ee7c.png,,bad_arw,6,data\A5;extra\38;extra\40;extra\41;extra\44;extra\63
data\A6,data,A6,data\A6\Method2226.arw,65692,26c546e2c4c7bd10654da065c4fc0c8c,data\A6\Method2226.cdf,25520,data\A6\Method_m32_result_2239.rpt,66294,2,data\A6\1ea2adaf-fa3a-422e-b30d-0d210f05ceb1.png,data\A6\0f2ca32b-2a4e-460e-a368-40ed1d09c8b3.png,,ok,2,data\A6;extra\69
data\A7,data,A7,data\A7\data8022.arw,193822,ca01f036902a1aa58261b9e0e8958e88,data\A7\data8022.cdf,73664,data\A7\data_m32_result_8200.rpt,184668,2,data\A7\ff37e3c5-09eb-4793-9462-71adf1bb55f2.png,data\A7\9f931791-edd7-4424-a2c4-20478d647680.png,,ok,1,
data\A8,data,A8,data\A8\data8042.arw,195650,6b86bb8e26f0cfb4d50b752478beb5fc,data\A8\data8042.cdf,73712,data\A8\data_m32_result_8201.rpt,181732,2,data\A8\b7710e2b-31c2-429d-bd18-2e14e420d7fe.png,,data\A8\6c6c468f-425a-4281-8f7d-d14bca44c3ff.png,ok,1,
data\A9,data,A9,data\A9\data8062.arw,195790,3e7efdc2f824315dd1ac2d2576187013,data\A9\data8062.cdf,73664,data\A9\data_m32_result_8202.rpt,181547,2,data\A9\d006975f-865f-4df7-a10b-416040159371.png,,data\A9\62034378-4a51-40c8-a1ca-565ab82434aa.png,ok,1,
data\B1,data,B1,data\B1\data12696.arw,66623,6a5c53cc7e8a01383346b0d46641d97b,data\B1\data12696.cdf,25616,data\B1\data_m32_result_12865.rpt,64389,1,data\B1\319f0c5a-7b7d-4cb3-adb6-bb509b0e36e7.png,,,ok,1,
data\B10,data,B10,data\B10\data1533.arw,198735,2df05dfb2bf0c46069fc2c234da40c22,data\B10\data1533.cdf,73664,data\B10\data_m32_result_2246.rpt,185013,2,data\B10\8da600e9-bb95-46ba-9cdf-538f9af92084.png,,data\B10\a1c7324a-0d54-4a19-bc7d-814a322c2ea5.png,ok,1,
data\B11,data,B11,data\B11\data1537.arw,199233,1552cb1626137afb9a83b9da6511e8fd,data\B11\data1537.cdf,73664,data\B11\data_m32_result_2247.rpt,185057,2,data\B11\bc5c6613-95c4-43f7-ba4d-84c8645c2712.png,,data\B11\441420a7-e3a8-48db-b23b-4eb6fc828cba.png,ok,1,
data\B12,data,B12,data\B12\data1541.arw,197831,6878a0f335fd0ef48ab5d8c7106d114e,data\B12\data1541.cdf,73664,data\B12\data_m32_result_2248.rpt,187762,2,data\B12\d42d5a7f-7958-4d23-bd05-40ea9fbe6ee8.png,,data\B12\0ada181a-fdf9-45ef-8862-34ab7ee62bab.png,ok,1,
data\B13,data,B13,data\B13\data1222.arw,196034,eebd04850bbee96160e0df957162b768,data\B13\data1222.cdf,73664,data\B13\data_m32_result_1408.rpt,187012,2,data\B13\d19428fe-4f67-4f47-bfe6-8af69b1d4535.png,,data\B13\ff71f823-1af2-4c41-9ee0-9958e07b2db0.png,ok,1,
data\B14,data,B14,data\B14\data1242.arw,195692,53c07954455e19e3c74ea1620f4dfb04,data\B14\data1242.cdf,73616,data\B14\data_m32_result_1409.rpt,187259,2,data\B14\b69448c6-a3ef-40c2-a0fa-4385692fb8f2.png,,data\B14\2b85f569-a371-438c-b33f-9d41cb9fbfcd.png,ok,1,
data\B15,data,B15,data\B15\data1262.arw,198566,1cf2ff3399bccabdc44a756f72e87b24,data\B15\data1262.cdf,73616,data\B15\data_m32_result_1410.rpt,190557,2,data\B15\b43ed423-d8b1-4fe3-86dc-6219e7d288cb.png,,data\B15\6714efe2-0896-4efa-8d06-bd3cb70fc37c.png,ok,1,
data\B2,data,B2,data\B2\Method2762.arw,66114,e8a33a6d0ef483bdd4a5ce8269c57e29,data\B2\Method2762.cdf,25232,data\B2\Method_m32_result_2850.rpt,63925,2,data\B2\2dd0231a-70a3-494a-9371-7fded0bacf04.png,data\B2\871cf3ed-527c-44b9-898b-f7c59267df01.png,,ok,2,data\B2;extra\47
data\B3,data,B3,data\B3\testdata1078.arw,196577,49b895448d7d774ddbfa75ea9d7ca593,data\B3\testdata1078.cdf,73232,data\B3\testdata_m32_result_1174.rpt,187391,1,data\B3\5eec6999-0c65-4730-82ef-b78df5d4468d.png,,,ok,2,data\B3;extra\HT LL 1
data\B4,data,B4,data\B4\Method2802.arw,65227,36de87f0cc14b5c5c2eaee9439a4f944,data\B4\Method2802.cdf,25232,data\B4\Method_m32_result_2852.rpt,65104,2,data\B4\fe1e28ea-e50d-4bc6-8973-2bea98d56121.png,data\B4\cb4eb738-5b84-4604-b151-a882eb350945.png,,ok,2,data\B4;extra\49
data\B5,data,B5,data\B5\Method2806.arw,65058,f785234c750dbd96496ce627b5fec034,data\B5\Method2806.cdf,25520,data\B5\Method_m32_result_2853.rpt,65141,2,data\B5\d249aafa-9327-475d-96e6-a9b6973912d1.png,data\B5\1c5f920f-b8d2-4b87-b735-b318e00a8d8c.png,,ok,2,data\B5;extra\50
data\B6,data,B6,data\B6\Method2202.arw,65246,46caf46e7a61846823a971d1d852b54f,data\B6\Method2202.cdf,25664,data\B6\Method_m32_result_2237.rpt,63765,2,data\B6\d409fe14-4f2a-4a27-a8ab-56e735d418d3.png,data\B6\2d98fb03-3315-4e04-bfe6-bd236e33b615.png,,ok,2,data\B6;extra\67
data\B7,data,B7,data\B7\testdata1082.arw,196229,b2c571b076ddcaa1eeff232870ed6e54,data\B7\testdata1082.cdf,73232,data\B7\testdata_m32_result_1172.rpt,189767,1,data\B7\b809eb23-3cf6-42d7-af44-f1c7a3987b06.png,,,ok,2,data\B7;extra\HT LL 2
data\B8,data,B8,data\B8\exp1562.arw,66241,376e46868cc1c3dc7d7852259e13a1c7,data\B8\exp1562.cdf,25228,data\B8\exp_m32_result_1610.rpt,64449,1,data\B8\fe723e1c-dfca-4700-bb58-cfbe9043484e.png,,,ok,2,data\B8;extra\D1
data\B9,data,B9,data\B9\exp1542.arw,66937,6a29bee1131b08a476e68bdec7f9c42b,data\B9\exp1542.cdf,25232,data\B9\exp_m32_result_1609.rpt,64185,1,data\B9\9e5c3b03-05e8-41b7-9878-8188074a3b50.png,,,ok,2,data\B9;extra\D2
data\BC1,data,BC1,data\BC1\data12782.arw,65628,bb6b6842998d6dc5ef8dfe8d9173de98,data\BC1\data12782.cdf,25616,data\BC1\data_m32_result_12870.rpt,62562,1,data\BC1\0980e054-7877-4002-bca3-8b66fc2d9a88.png,,,ok,1,
data\BC10,data,BC10,data\BC10\data1079.arw,195108,2eb5a6c4c922ddbd4f04cc3769dc8bce,data\BC10\data1079.cdf,73664,data\BC10\data_m32_result_1113.rpt,185672,2,data\BC10\41c82bc4-c81d-4043-9687-72a7ad7468a9.png,,data\BC10\d79bde7f-627f-484b-9981-9de432c87c28.png,ok,1,
data\BC11,data,BC11,data\BC11\data1083.arw,195321,28c37ae16a2d70f78db3e725a068c660,data\BC11\data1083.cdf,73664,data\BC11\data_m32_result_1114.rpt,188048,2,data\BC11\85854d15-a252-4fc8-9a48-d10999227697.png,,data\BC11\0ee9ebc5-2ed0-4e8b-af12-2223662da81f.png,ok,1,
data\BC2,data,BC2,data\BC2\Method1066.arw,66991,8744fcb5bd719e42e44c0d588c97810f,data\BC2\Method1066.cdf,25568,data\BC2\Method_m32_result_1092.rpt,61776,2,data\BC2\391e9b57-93e5-46b0-8bd1-bb41000827ad.png;data\BC2\f45d0c81-9208-4f5d-98d5-6de6f4ecd420.png,,,ok,2,data\BC2;extra\98
data\BC3,data,BC3,data\BC3\Method4614.arw,66350,d852450fad47f348339c6f44e213c6d3,data\BC3\Method4614.cdf,25664,data\BC3\Method_m32_result_4635.rpt,64421,1,data\BC3\7b5ec85f-c14a-47da-88ec-2f78ba49198c.png,,,ok,2,data\BC3;extra\jian1
data\BC4,data,BC4,data\BC4\Method4610.arw,66129,2404c366417c95d45d8f5a8eea4002d3,data\BC4\Method4610.cdf,25616,data\BC4\Method_m32_result_4634.rpt,64211,1,data\BC4\683bfe48-ffc3-4198-8891-a08383f600ff.png,,,ok,2,data\BC4;extra\jian2
data\BC5,data,BC5,data\BC5\Method4606.arw,67106,f33be1402f9dd450a73698fe3989ca8d,data\BC5\Method4606.cdf,25616,data\BC5\Method_m32_result_4633.rpt,64187,1,data\BC5\fd1049ba-6d52-4608-b8be-cca8812d5615.png,,,ok,2,data\BC5;extra\jian3
data\BC6,data,BC6,data\BC6\data4584.arw,195920,3b48fbe79d06f41103727d5774d317da,data\BC6\data4584.cdf,73664,data\BC6\data_m32_result_5046.rpt,185247,2,data\BC6\79234881-8616-4868-bd9d-dec7815a5b2d.png,,data\BC6\0f7e35ac-f361-41b5-999a-39c0f09c7dfd.png,ok,1,
data\BC7,data,BC7,data\BC7\data4592.arw,197922,4e29bdb33bd70ac5989fc163a8431308,data\BC7\data4592.cdf,73664,data\BC7\data_m32_result_5047.rpt,187102,2,data\BC7\4709344d-edff-4888-ac5f-7323137e5521.png,,data\BC7\34606c95-1d2a-47d0-ada1-6b3c90274b73.png,ok,1,
data\BC8,data,BC8,data\BC8\data4600.arw,198616,60a35ec7ce2ad6c0e590efb6585ae5b5,data\BC8\data4600.cdf,73664,data\BC8\data_m32_result_5048.rpt,186525,2,data\BC8\c009c43d-78d4-425a-85f6-734fdec185d6.png,,data\BC8\bb97e18a-b734-4041-b33f-6274663b13b7.png,ok,1,
data\BC9,data,BC9,data\BC9\data1075.arw,191217,a296c47b3f731bba032b36dd4452ea48,data\BC9\data1075.cdf,73664,data\BC9\data_m32_result_1112.rpt,185993,2,data\BC9\46b6e196-9a2a-46fd-a9c7-a3eccdd2c1a6.png,,data\BC9\c215a206-caa6-4947-a0f8-ecc4467b987e.png,ok,1,
data\BE1,data,BE1,data\BE1\Method2722.arw,65157,d7baa434452f73a496d8fcbe08f80c37,data\BE1\Method2722.cdf,25568,data\BE1\Method_m32_result_2848.rpt,64474,2,data\BE1\0602c459-eb3d-42e4-94dc-0c3afdf03d8d.png,data\BE1\86468d52-6e6b-47d6-8954-14e1e4482224.png,,ok,2,data\BE1;extra\45
extra\38,extra,38,extra\38\Method3202.arw,0,d41d8cd98f00b204e9800998ecf8427e,extra\38\Method3202.cdf,25224,extra\38\Method_m32_result_3285.rpt,66091,2,extra\38\cfcb02d0-50fe-4bd0-b204-5438aa12a8d3.png,extra\38\d8d2a3ac-1fc4-4d2c-849d-0945cb7f4a8d.png,,bad_arw,6,data\A5;extra\38;extra\40;extra\41;extra\44;extra\63
extra\39,extra,39,extra\39\Method3222.arw,65538,f5516fe163485d0e2572d97e53df5ed9,extra\39\Method3222.cdf,25512,extra\39\Method_m32_result_3286.rpt,66378,2,extra\39\f825f862-7976-4fd2-959a-b6fcf9619311.png,extra\39\9422e327-52a2-4b03-a2a2-81d67eb4a41e.png,,ok,2,data\A2;extra\39
extra\40,extra,40,extra\40\Method3242.arw,0,d41d8cd98f00b204e9800998ecf8427e,extra\40\Method3242.cdf,25228,extra\40\Method_m32_result_3287.rpt,63541,2,extra\40\942b2fde-d2c1-4b2d-a6aa-3d4f58f150c2.png,extra\40\15fdd3b8-82f1-4972-ab3c-1d0c1857ee7c.png,,bad_arw,6,data\A5;extra\38;extra\40;extra\41;extra\44;extra\63
extra\41,extra,41,extra\41\Method3247.arw,0,d41d8cd98f00b204e9800998ecf8427e,extra\41\Method3247.cdf,25228,extra\41\Method_m32_result_3288.rpt,64347,2,extra\41\c339d1c9-91d9-4223-aa44-559e7d437902.png,extra\41\3f4532b4-a52c-4512-b57a-940088e98940.png,,bad_arw,6,data\A5;extra\38;extra\40;extra\41;extra\44;extra\63
extra\42,extra,42,extra\42\Method3252.arw,67084,c7f4b8d0ca12473fbc74f9ab62c2965f,extra\42\Method3252.cdf,25512,extra\42\Method_m32_result_3289.rpt,65410,2,extra\42\04f59218-5b59-4434-9444-f646a63c8e41.png,extra\42\06da9426-ca9d-4235-b2ad-e831a54a913e.png,,ok,3,data\A1;data\A3;extra\42
extra\44,extra,44,extra\44\Method2702.arw,0,d41d8cd98f00b204e9800998ecf8427e,extra\44\Method2702.cdf,25232,extra\44\Method_m32_result_2847.rpt,65662,2,extra\44\30658742-4bab-4caa-8cbd-87426016fbfa.png,extra\44\d759a779-5186-47a4-a65c-2712a9032122.png,,bad_arw,6,data\A5;extra\38;extra\40;extra\41;extra\44;extra\63
extra\45,extra,45,extra\45\Method2722.arw,65157,d7baa434452f73a496d8fcbe08f80c37,extra\45\Method2722.cdf,25568,extra\45\Method_m32_result_2848.rpt,64474,2,extra\45\0602c459-eb3d-42e4-94dc-0c3afdf03d8d.png,extra\45\86468d52-6e6b-47d6-8954-14e1e4482224.png,,ok,2,data\BE1;extra\45
